initialCase,cited_by,Case
112768,cited by,118148
112768,cited by,118111
112768,cited by,118011
112786,cited by,117947
112786,cited by,117927
112786,cited by,117931
112786,cited by,112808
112786,cited by,137749
112786,cited by,118299
112786,cited by,118140
112787,cited by,118395
112808,cited by,117916
112808,cited by,118015
112920,cited by,118113
112930,cited by,117900
117834,cited by,142893
117834,cited by,118111
117841,cited by,117916
117841,cited by,118361
1087961,cited by,142893
1087961,cited by,118111
117874,cited by,118111
117914,cited by,118111
117921,cited by,117944
117921,cited by,121170
117921,cited by,121162
117925,cited by,118361
117925,cited by,118136
117944,cited by,118015
118102,cited by,118382
118111,cited by,118148
118115,cited by,118238
118134,cited by,118454
118134,cited by,118318
118136,cited by,137001
118140,cited by,122254
118140,cited by,118363
118140,cited by,118323
118140,cited by,118318
118140,cited by,118317
118140,cited by,118316
118146,cited by,118238
118299,cited by,137738
118317,cited by,118323
118317,cited by,118511
118323,cited by,118363
118323,cited by,118511
118335,cited by,118382
118335,cited by,122254
118335,cited by,121170
118346,cited by,118379
118363,cited by,137738
118363,cited by,122254
118379,cited by,130156
108990,cited by,118317
108990,cited by,118318
108990,cited by,118134
108990,cited by,118011
108990,cited by,117944
108990,cited by,112643
108990,cited by,112423
108990,cited by,112291
108990,cited by,111949
108990,cited by,111362
108990,cited by,110753
108990,cited by,110034
108993,cited by,118335
108993,cited by,118102
108993,cited by,117935
108993,cited by,117921
108993,cited by,112472
108993,cited by,111781
108993,cited by,110904
108993,cited by,110894
108993,cited by,109380
109087,cited by,118146
109087,cited by,112747
109087,cited by,109086
109101,cited by,118363
109101,cited by,118115
109101,cited by,117927
109101,cited by,117916
109101,cited by,112305
109101,cited by,112173
109101,cited by,112139
109101,cited by,111375
109101,cited by,111362
109101,cited by,110985
109101,cited by,110762
109101,cited by,110339
109086,cited by,118146
109086,cited by,112747
109086,cited by,109087
109121,cited by,118033
109121,cited by,112305
109344,cited by,118111
109344,cited by,112643
109344,cited by,111949
109344,cited by,110068
109344,cited by,109835
109380,cited by,118382
109380,cited by,118335
109380,cited by,118238
109380,cited by,118146
109380,cited by,118113
109380,cited by,118115
109380,cited by,118033
109380,cited by,117927
109380,cited by,117947
109380,cited by,117935
109380,cited by,117921
109380,cited by,112920
109380,cited by,112768
109380,cited by,112644
109380,cited by,112625
109380,cited by,112472
109380,cited by,112427
109380,cited by,112398
109380,cited by,112305
109380,cited by,112173
109380,cited by,112139
109380,cited by,111893
109380,cited by,111781
109380,cited by,111759
109380,cited by,111756
109380,cited by,111510
109380,cited by,111308
109380,cited by,111100
109380,cited by,110985
109380,cited by,110904
109380,cited by,110894
109380,cited by,110689
109380,cited by,110588
109380,cited by,109499
109380,cited by,109443
109499,cited by,1145266
109499,cited by,118363
109499,cited by,118318
109499,cited by,118148
109499,cited by,117935
109499,cited by,117927
109499,cited by,112768
109499,cited by,112643
109499,cited by,111308
109499,cited by,111104
109499,cited by,110985
109499,cited by,110881
109499,cited by,110308
109499,cited by,110068
109499,cited by,110034
109772,cited by,111466
109835,cited by,117834
109835,cited by,112643
109835,cited by,111941
109835,cited by,110068
1329158,cited by,1087961
1329158,cited by,118111
110018,cited by,111104
110018,cited by,110560
110068,cited by,130156
110068,cited by,118379
110068,cited by,110308
110339,cited by,112472
110340,cited by,112920
110340,cited by,112173
110315,cited by,112173
110315,cited by,111759
110315,cited by,111510
110413,cited by,118361
110413,cited by,118136
110413,cited by,117925
110413,cited by,117841
110554,cited by,137001
110554,cited by,130156
110554,cited by,110985
110554,cited by,110564
110560,cited by,110560
110560,cited by,118454
110560,cited by,112357
110564,cited by,137001
110564,cited by,130156
110564,cited by,118379
110588,cited by,118335
110588,cited by,111100
110689,cited by,121170
110689,cited by,118335
110689,cited by,118203
110689,cited by,112398
110689,cited by,110894
1145266,cited by,118148
1145266,cited by,117935
1145266,cited by,117927
1145266,cited by,112768
1145266,cited by,112456
1145266,cited by,112176
1145266,cited by,111308
1145266,cited by,111104
1145266,cited by,110881
110753,cited by,118134
110753,cited by,112471
110753,cited by,112296
110762,cited by,118203
110762,cited by,118115
110762,cited by,118011
